uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
78a1a8ad-a08c-4092-91bc-e57c8394a439,"Kluckhohn, Clyde, 1905-1960",The Navaho,1946,126,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"152,754,764,775",https://ehrafworldcultures.yale.edu/sres/78a1a8ad-a08c-4092-91bc-e57c8394a439
acdbca3e-3688-4304-909c-fc54d7aeb53c,"Wyman, Leland Clifton, 1897-",Navajo eschatology,1942,42-43,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,154,171,769,775",https://ehrafworldcultures.yale.edu/sres/acdbca3e-3688-4304-909c-fc54d7aeb53c
09af69e9-d05c-4e44-b60d-958c7cff0aec,"Kluckhohn, Clyde, 1905-1960",Navaho witchcraft,1944,67 [4] 1-3,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,184,626,754,769",https://ehrafworldcultures.yale.edu/sres/09af69e9-d05c-4e44-b60d-958c7cff0aec
650909a4-0f36-475f-8d14-356cf4409d32,"Blanchard, Kendall, 1942-","The economics of sainthood: religious change among the Rimrock
         Navajos",1977,123,Monograph,Navajo,North America,Southwest and Basin,agro-pastoralists,,769,https://ehrafworldcultures.yale.edu/sres/650909a4-0f36-475f-8d14-356cf4409d32
f693bb43-941f-444a-b9de-f9238c80892e,"Morgan, William, 1917-",Human-wolves among the Navaho,1970,43,Monograph,Navajo,North America,Southwest and Basin,agro-pastoralists,,776,https://ehrafworldcultures.yale.edu/sres/f693bb43-941f-444a-b9de-f9238c80892e
c14ab275-4c29-4fa1-a8ab-bd7a7361f52e,"Wyman, Leland Clifton, 1897-",Navajo eschatology,1942,35[2],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,171,763,775,787,828",https://ehrafworldcultures.yale.edu/sres/c14ab275-4c29-4fa1-a8ab-bd7a7361f52e
263e2c62-6c6d-4d72-954c-8562509fb4a7,"Aberle, David F. (David Friend),
         1918-2004",The peyote religion among the Navaho,1966,154,Monograph,Navajo,North America,Southwest and Basin,agro-pastoralists,,"178,769",https://ehrafworldcultures.yale.edu/sres/263e2c62-6c6d-4d72-954c-8562509fb4a7
4cc85b60-3520-48ad-a32b-3252e7616902,"Reichard, Gladys Amanda, 1893-1955","Social life of the Navajo Indians: with some attention to
         minor ceremonies",1928,143 [2],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"764,775",https://ehrafworldcultures.yale.edu/sres/4cc85b60-3520-48ad-a32b-3252e7616902
8aaf573e-a856-4381-91e8-05cf579d02cd,"Haile, Berard, 1874-1961",Origin legend of the Navaho Flintway,1943,27 [2],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,755,775",https://ehrafworldcultures.yale.edu/sres/8aaf573e-a856-4381-91e8-05cf579d02cd
f08549ac-7e86-4933-92b7-1cb1992410fc,"Aberle, David F. (David Friend),
         1918-2004",The peyote religion among the Navaho,1966,154,Monograph,Navajo,North America,Southwest and Basin,agro-pastoralists,,"753,755,769,774",https://ehrafworldcultures.yale.edu/sres/f08549ac-7e86-4933-92b7-1cb1992410fc
